protocol,transition,t0,t1,horizon_days,raw_coverage,calibrated_coverage,multiplicative_calibrated_coverage,mmd,moment_error,sliced_wasserstein,equal_mmd,equal_moment_error,equal_sliced_wasserstein,persistence_mmd,persistence_moment_error,persistence_sliced_wasserstein,delta_vs_persistence_mmd,delta_vs_equal_mmd,delta_vs_persistence_moment_error,delta_vs_equal_moment_error,delta_vs_persistence_sliced_wasserstein,delta_vs_equal_sliced_wasserstein
mouse_zero_shot_adjacent,3_to_7,3.0,7.0,4.0,0.6666666666666666,0.8333333333333334,1.0,0.0987365916371345,0.0204770062118768,0.0230625290423631,0.0987365469336509,0.0204770099371671,0.0230739153921604,0.0246696341782808,0.0053787566721439,0.0083541488274931,0.0740669574588537,4.4703483595420757e-08,0.0150982495397329,-3.725290298461914e-09,0.01470838021487,-1.1386349797297413e-05
mouse_zero_shot_adjacent,7_to_14,7.0,14.0,7.0,0.5,0.8333333333333334,0.8333333333333334,0.2309577614068985,0.0392672084271907,0.0417264215648174,0.230957806110382,0.039267212152481,0.0448873192071914,0.1099322289228439,0.0211283806711435,0.0213489681482315,0.1210255324840546,-4.470348349827624e-08,0.018138827756047197,-3.725290305400808e-09,0.0203774534165859,-0.003160897642373997
mouse_zero_shot_adjacent,14_to_21,14.0,21.0,7.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.3745359480381012,0.0850887075066566,0.0991089344024658,0.3745359480381012,0.0850887075066566,0.1003826111555099,0.058413628488779,0.0115111367776989,0.0148447081446647,0.3161223195493222,0.0,0.07357757072895771,0.0,0.08426422625780111,-0.0012736767530440868
mouse_zero_shot_direct_horizon,3_to_7,3.0,7.0,4.0,0.6666666666666666,0.8333333333333334,1.0,0.0987365767359733,0.0204770062118768,0.0298372916877269,0.0987365469336509,0.0204770099371671,0.0217916518449783,0.0246696341782808,0.0053787566721439,0.0100856935605406,0.0740669425576925,2.98023224015731e-08,0.0150982495397329,-3.725290298461914e-09,0.019751598127186302,0.0080456398427486
mouse_zero_shot_direct_horizon,3_to_14,3.0,14.0,11.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.2263361662626266,0.0417464710772037,0.0406306385993957,0.2263361513614654,0.0417464710772037,0.0392543897032737,0.0924283787608146,0.0204670000821352,0.0357181280851364,0.13390778750181198,1.4901161193847656e-08,0.0212794709950685,0.0,0.004912510514259304,0.0013762488961220065
mouse_zero_shot_direct_horizon,3_to_21,3.0,21.0,18.0,0.5,0.5,0.8333333333333334,0.4294392466545105,0.0926543250679969,0.1140996515750885,0.4294392168521881,0.0926543176174163,0.1066414937376976,0.1225921064615249,0.0381384193897247,0.0455084815621376,0.3068471401929856,2.9802322387695312e-08,0.0545159056782722,7.450580596923828e-09,0.0685911700129509,0.0074581578373909
