family,metric,reference,comparator,mean_difference_reference_minus_comparator,median_difference_reference_minus_comparator,paired_standardized_effect_dz,reference_win_fraction_lower_error,ci_lower,ci_upper,p_value,n_units,unit,p_adjust_bh_within_family
E8 ablations,mmd,full,mechanistic_misspecification,-0.0025845455005764975,-0.006104148924350732,-0.267506884197011,0.6,-0.009782586991786956,0.005080402722316113,0.6257374262573743,5,seed,0.7408059194080592
E8 ablations,mmd,full,no_constraints,-0.0007182354107499164,-0.00022761004843880467,-0.07207188299435106,0.6,-0.008437582158616615,0.0068606395540492734,0.8118188181181882,5,seed,0.8118188181181881
E8 ablations,mmd,full,no_graph,-0.01612582371703217,-0.007824519915240177,-1.0990767404518358,1.0,-0.027308943388717522,-0.005139875944171643,0.0648935106489351,5,seed,0.29202079792020796
E8 ablations,mmd,full,no_mechanism,0.006984040686594582,0.005794296573315337,1.2289739347061908,0.0,0.0024877180478402525,0.011480363325348911,0.0648935106489351,5,seed,0.29202079792020796
E8 ablations,mmd,full,residual_penalty_high,0.0013634367712906394,6.588974169317863e-05,0.514460177210493,0.2,-0.0003228224281753844,0.0036599636876157417,0.30816918308169183,5,seed,0.6400436879388984
E8 ablations,mmd,full,residual_penalty_low,-0.0015432668051549386,-0.003290031903556423,-0.18029266841932365,0.8,-0.007497453955667361,0.005427015679223196,0.6858314168583142,5,seed,0.7408059194080592
E8 ablations,mmd,full,residual_penalty_zero,0.0027422472834587085,0.0009173681693417854,0.3288817190823443,0.4,-0.0036524433110441444,0.00913693787796156,0.43775622437756223,5,seed,0.6566343365663434
E8 ablations,mmd,full,shuffled_graph,0.004480307309755259,0.006518937647342696,0.7217169840869397,0.4,-0.000274245281304622,0.00923485990081514,0.25517448255174485,5,seed,0.6263373662633737
E8 ablations,mmd,full,state_definition,-0.02658722842378276,-0.022557688344802165,-2.6867732411429017,1.0,-0.035044374316930776,-0.019301617730941092,0.0648935106489351,5,seed,0.29202079792020796
E8 ablations,moment_error,full,mechanistic_misspecification,-0.0004439461044967088,-0.0008989519140283862,-0.18022526447541845,0.6,-0.002356163621880112,0.0014682714128866944,0.6855314468553144,5,seed,0.7408059194080592
E8 ablations,moment_error,full,no_constraints,-0.0007593475847638058,0.0003186716930940999,-0.24545049420498238,0.4,-0.0034140220044978978,0.0014053245008523907,0.6859314068593141,5,seed,0.7408059194080592
E8 ablations,moment_error,full,no_graph,-0.00292975676046418,-0.0013915727114570849,-0.7436386517473716,0.8,-0.005936990023058431,1.9554474524085403e-05,0.24627537246275372,5,seed,0.6263373662633737
E8 ablations,moment_error,full,no_mechanism,0.0007740578747221398,0.0005861903607313011,0.48282896821023114,0.4,-0.0004350767138281055,0.0020591608847358514,0.37546245375462456,5,seed,0.6566343365663434
E8 ablations,moment_error,full,residual_penalty_high,0.00038639739421862283,5.271119464721544e-05,0.4521440991905706,0.4,-0.00016527318927858566,0.0011268696614674246,0.43645635436456354,5,seed,0.6566343365663434
E8 ablations,moment_error,full,residual_penalty_low,-0.0003611984396619545,-0.0008152183976822564,-0.1610287283689517,0.8,-0.0020674934910078317,0.0015118768704789035,0.5668433156684332,5,seed,0.7287985487165569
