family,metric,reference,comparator,mean_difference_reference_minus_comparator,median_difference_reference_minus_comparator,paired_standardized_effect_dz,reference_win_fraction_lower_error,ci_lower,ci_upper,p_value,n_units,unit,p_adjust_bh_within_family
E8 ablations,moment_error,full,residual_penalty_zero,0.0007089489139616484,0.0002987579043422428,0.3051834494860069,0.4,-0.0010757593171937109,0.002438569907099014,0.43775622437756223,5,seed,0.6566343365663434
E8 ablations,moment_error,full,shuffled_graph,0.001206334793408003,0.0017104626832796007,0.6595406850721139,0.4,-0.00015012960481855484,0.002562799191634561,0.25517448255174485,5,seed,0.6263373662633737
E8 ablations,moment_error,full,state_definition,-0.010982565990915258,-0.01077416805284364,-2.6715527005029887,1.0,-0.014148677246911184,-0.00781645473491933,0.0648935106489351,5,seed,0.29202079792020796
E8 ablations,sliced_wasserstein,full,mechanistic_misspecification,-0.0003815340876047315,-0.001398351209770386,-0.13925364010425775,0.6,-0.002413136225992021,0.0018658310307987744,0.8089191080891911,5,seed,0.8118188181181881
E8 ablations,sliced_wasserstein,full,no_constraints,-0.001192493337605698,-0.0006921990508479709,-0.35984021074321815,0.6,-0.0037776294430451997,0.001321100323860119,0.5031496850314968,5,seed,0.715002183992127
E8 ablations,sliced_wasserstein,full,no_graph,-0.003423259400629589,-0.002824334161622189,-0.7759334651268825,0.8,-0.006860000666763113,1.3481865503934403e-05,0.18668133186681332,5,seed,0.6263373662633737
E8 ablations,sliced_wasserstein,full,no_mechanism,0.00238848465295241,0.0025660829685096257,1.1779733378719068,0.0,0.0008143068490815992,0.003962662456823221,0.0648935106489351,5,seed,0.29202079792020796
E8 ablations,sliced_wasserstein,full,residual_penalty_high,0.0004301556053438165,3.1449432883939865e-05,0.5326072263778722,0.2,-9.547682212933811e-05,0.0011194576575819719,0.30816918308169183,5,seed,0.6400436879388984
E8 ablations,sliced_wasserstein,full,residual_penalty_low,-0.000495887181854698,-0.000910815250660741,-0.19484660419830085,0.8,-0.002414503314399327,0.0016100263289574907,0.5668433156684332,5,seed,0.7287985487165569
E8 ablations,sliced_wasserstein,full,residual_penalty_zero,0.0008866446691431967,0.00042086450516112817,0.31932761029326495,0.4,-0.0012386107883815458,0.00299052905424363,0.43775622437756223,5,seed,0.6566343365663434
E8 ablations,sliced_wasserstein,full,shuffled_graph,0.001297052251175035,0.0017293970366673572,0.6288371112150779,0.4,-0.0002311916755778548,0.0028252961779279247,0.25517448255174485,5,seed,0.6263373662633737
E8 ablations,sliced_wasserstein,full,state_definition,-0.01142289882658849,-0.010740521696529257,-3.1667077631488714,1.0,-0.01448046833808935,-0.00879503402725928,0.0648935106489351,5,seed,0.29202079792020796
