patient,patient_group,cell_type_original,activation,cardiomyocyte_regeneration,fibroblast_ecm,inflammation,mature_myocardium,vascularisation
P15,ischemic,Neuronal,0.36709434,0.18820485,0.56836563,0.6512463,0.088987164,0.07311463
P15,ischemic,Pericyte,0.50189865,0.38263962,0.38421798,0.3056401,0.19517541,0.33940557
P15,ischemic,vSMCs,0.62625146,0.39709008,0.46356225,0.3133928,0.27312303,0.5222496
P16,ischemic,Cardiomyocyte,0.6007508,0.42425317,0.29859513,0.24653709,0.4391881,0.2647954
P16,ischemic,Endothelial,0.3486663,0.28006303,0.22045623,0.3170025,0.1574743,0.5533252
P16,ischemic,Fibroblast,0.45080695,0.29785818,0.5847896,0.32109532,0.17371978,0.32230142
P16,ischemic,Lymphoid,0.3642673,0.2490923,0.20440297,0.2786648,0.1450587,0.24136588
P16,ischemic,Myeloid,0.43118438,0.1970038,0.23773594,0.35008264,0.1624367,0.24191867
P16,ischemic,Pericyte,0.4054173,0.35468283,0.2848704,0.18764918,0.091645174,0.2785972
P17,myogenic,Cardiomyocyte,0.6065874,0.6846432,0.21405102,0.23639804,0.79137903,0.24589197
P17,myogenic,Endothelial,0.51472646,0.35839748,0.17346767,0.35322046,0.1798569,0.7649402
P17,myogenic,Fibroblast,0.6251278,0.4439793,0.59119666,0.36683625,0.19301514,0.41717693
P17,myogenic,Lymphoid,0.35669136,0.2963301,0.16498637,0.2817977,0.13076515,0.20229696
P17,myogenic,Myeloid,0.43097818,0.35487852,0.19484466,0.75870687,0.22761856,0.40679356
P17,myogenic,Neuronal,0.50444907,0.37539867,0.36831883,0.21995142,0.1412343,0.22727871
P17,myogenic,Pericyte,0.49702156,0.46196422,0.36559445,0.287931,0.18643974,0.36973384
P17,myogenic,vSMCs,0.54782957,0.49545643,0.30099854,0.29811618,0.22201471,0.4115893
P18,fibrotic,Cardiomyocyte,0.49903068,0.65781397,0.18084882,0.18469378,0.79112816,0.18357356
P18,fibrotic,Endothelial,0.380935,0.2822391,0.15890808,0.30310005,0.14484118,0.685037
P18,fibrotic,Fibroblast,0.49538702,0.33034116,0.62455624,0.25773725,0.13952571,0.30498302
P18,fibrotic,Lymphoid,0.31983548,0.22515853,0.19456549,0.20355219,0.15119681,0.2538637
P18,fibrotic,Myeloid,0.3485726,0.26979673,0.16622691,0.5832887,0.20685047,0.3668888
P18,fibrotic,Neuronal,0.44973853,0.26220354,0.29794145,0.21575375,0.18061481,0.18203342
P18,fibrotic,Pericyte,0.38371062,0.33089542,0.2775905,0.22172508,0.15765151,0.31161213
P18,fibrotic,vSMCs,0.36323708,0.39689872,0.25011885,0.2633521,0.18027955,0.4487696
P19,fibrotic,Cardiomyocyte,0.49783525,0.61609256,0.22280261,0.24118508,0.6099522,0.25526157
P19,fibrotic,Endothelial,0.49343058,0.3869765,0.23411399,0.32230005,0.19203709,0.75986737
P19,fibrotic,Fibroblast,0.59272105,0.42189893,0.663034,0.3221946,0.20358425,0.40160146
P19,fibrotic,Lymphoid,0.37083516,0.286993,0.17212847,0.31384534,0.112264596,0.2615226
P19,fibrotic,Myeloid,0.45739946,0.31538358,0.23875596,0.697818,0.21388146,0.37012798
P19,fibrotic,Neuronal,0.5540127,0.35066617,0.43611202,0.19986096,0.18596998,0.16902195
P19,fibrotic,Pericyte,0.45877296,0.40290385,0.38360944,0.32829478,0.20556304,0.39658862
P19,fibrotic,vSMCs,0.5625772,0.5310915,0.3631431,0.3775708,0.23041353,0.528076
P2,ischemic,Cardiomyocyte,0.6215599,0.66111976,0.24453455,0.26528308,0.54599637,0.28969252
P2,ischemic,Endothelial,0.47728708,0.36906284,0.22753756,0.3217867,0.18676059,0.6021925
P2,ischemic,Fibroblast,0.60916287,0.36279637,0.6370823,0.37736645,0.19383469,0.41907778
P2,ischemic,Lymphoid,0.13391872,0.25161773,0.313427,0.1841176,0.19709502,0.18136334
P2,ischemic,Myeloid,0.40841165,0.34683174,0.20684184,0.5243466,0.21749058,0.34002542
P2,ischemic,Neuronal,0.4715496,0.38915902,0.7479305,0.37927973,0.31707022,0.20882314
P2,ischemic,Pericyte,0.47915977,0.43197796,0.38738889,0.37140232,0.18515895,0.34500122
P2,ischemic,vSMCs,0.6556444,0.47584492,0.37820548,0.33943743,0.264241,0.42666292
P2,myogenic,Cardiomyocyte,0.58821034,0.67228866,0.19808708,0.20108491,0.72857976,0.21555182
P2,myogenic,Endothelial,0.45284632,0.33112442,0.15691109,0.31637713,0.1550769,0.67755604
P2,myogenic,Fibroblast,0.58294046,0.3752418,0.65587014,0.33517423,0.17121232,0.37030554
P2,myogenic,Lymphoid,0.35093552,0.28632328,0.18663803,0.26546848,0.14374258,0.2503445
P2,myogenic,Myeloid,0.398831,0.3095174,0.18780258,0.62083256,0.21700478,0.377339
P2,myogenic,Neuronal,0.46302545,0.2800224,0.30148095,0.22247916,0.14431088,0.2250259
P2,myogenic,Pericyte,0.42553127,0.43981236,0.3066706,0.2639047,0.17705403,0.35012746
P2,myogenic,vSMCs,0.47055474,0.45802724,0.23822004,0.27697778,0.23213759,0.38174257
P20,fibrotic,Cardiomyocyte,0.5347562,0.7469937,0.19661348,0.23159544,0.705771,0.2213821
P20,fibrotic,Endothelial,0.4987423,0.3597618,0.25500238,0.33977455,0.18307336,0.6487515
P20,fibrotic,Fibroblast,0.58165395,0.3601873,0.6014739,0.32266417,0.19533598,0.3780631
P20,fibrotic,Lymphoid,0.39434743,0.2598075,0.26359206,0.27921313,0.15289618,0.24629293
P20,fibrotic,Myeloid,0.42716208,0.30489415,0.2613341,0.62326217,0.21670137,0.3902349
P20,fibrotic,Neuronal,0.4743158,0.3317566,0.35550913,0.27148235,0.14063273,0.2497199
P20,fibrotic,Pericyte,0.46883842,0.39021227,0.32496315,0.27606145,0.21428928,0.35444513
P20,fibrotic,vSMCs,0.6197905,0.4976511,0.34851626,0.30048832,0.26262125,0.37907046
P3,ischemic,Cardiomyocyte,0.6153206,0.67012364,0.21385843,0.24259071,0.56313026,0.24371858
P3,ischemic,Endothelial,0.4259796,0.36189044,0.27365878,0.31855482,0.18232486,0.57285905
P3,ischemic,Fibroblast,0.6024478,0.38399377,0.59677076,0.3679666,0.20231196,0.3698848
P3,ischemic,Lymphoid,0.38992056,0.3794624,0.27166086,0.2663774,0.17243002,0.24267827
P3,ischemic,Myeloid,0.42994896,0.2814332,0.32381842,0.41271594,0.20778465,0.34294605
P3,ischemic,Neuronal,0.59523576,0.24941511,0.29914615,0.29703733,0.17523648,0.23279358
P3,ischemic,Pericyte,0.46061087,0.35627717,0.31711966,0.27493593,0.20309235,0.25183243
P3,ischemic,vSMCs,0.61000186,0.51791924,0.42400753,0.3128319,0.24574429,0.4411535
P3,myogenic,Cardiomyocyte,0.65140665,0.72771096,0.20035858,0.23190689,0.63834524,0.24940798
P3,myogenic,Endothelial,0.5174381,0.38005134,0.20404679,0.34158674,0.19860537,0.67733353
P3,myogenic,Fibroblast,0.6305286,0.40878525,0.6969515,0.36395133,0.19391906,0.39670682
P3,myogenic,Lymphoid,0.367971,0.25250784,0.18278432,0.26065004,0.15103285,0.25429836
P3,myogenic,Myeloid,0.44196776,0.29465225,0.22330037,0.6854572,0.21705242,0.41424072
P3,myogenic,Neuronal,0.496695,0.3785148,0.3982067,0.28510332,0.17919321,0.18707065
P3,myogenic,Pericyte,0.47859314,0.47172594,0.36432856,0.28643867,0.16810551,0.36087987
P3,myogenic,vSMCs,0.62399226,0.59033173,0.34088358,0.35381725,0.24457248,0.4380322
P4,fibrotic,Cardiomyocyte,0.40729102,0.33797386,0.28900295,0.300952,0.25960284,0.30625185
P4,fibrotic,Endothelial,0.4011605,0.29218754,0.21878381,0.28671864,0.14321241,0.4778129
P4,fibrotic,Fibroblast,0.4555961,0.30610013,0.46134588,0.29919413,0.16664585,0.34674928
P4,fibrotic,Lymphoid,0.3710145,0.2420985,0.20859386,0.2234551,0.15681197,0.24912216
P4,fibrotic,Myeloid,0.42250046,0.24555035,0.30492315,0.3604904,0.16932443,0.3209005
P4,fibrotic,Neuronal,0.32970545,0.278667,0.37410203,0.20381393,0.14598058,0.24702296
P4,fibrotic,Pericyte,0.36336777,0.2816445,0.2804108,0.24949041,0.16397007,0.33579284
P4,fibrotic,vSMCs,0.48119769,0.34598735,0.29862517,0.284053,0.15747207,0.32910973
P5,myogenic,Cardiomyocyte,0.5466449,0.67256534,0.20688371,0.21718735,0.77124465,0.19367169
P5,myogenic,Endothelial,0.4859755,0.3537839,0.19677886,0.3391824,0.16913122,0.7100203
P5,myogenic,Fibroblast,0.5863174,0.41493794,0.65373474,0.30989128,0.16410609,0.3534612
P5,myogenic,Lymphoid,0.4719172,0.36484534,0.28532583,0.31945032,0.18907835,0.3207602
P5,myogenic,Myeloid,0.37658685,0.3204996,0.22948277,0.611433,0.2300268,0.3731905
P5,myogenic,Neuronal,0.4961194,0.34073672,0.36944172,0.24429555,0.16980778,0.19905551
P5,myogenic,Pericyte,0.44070393,0.4396711,0.31736946,0.24438983,0.15888667,0.3734268
P5,myogenic,vSMCs,0.54872704,0.474538,0.30657047,0.23023479,0.21351425,0.3182329
P6,myogenic,Cardiomyocyte,0.6023842,0.7407151,0.17819144,0.22069867,0.78851455,0.2090713
P6,myogenic,Endothelial,0.5298897,0.39185506,0.14093742,0.3745779,0.17065293,0.83274865
P6,myogenic,Fibroblast,0.66201264,0.42698732,0.7811761,0.39166716,0.16215529,0.4331315
P6,myogenic,Lymphoid,0.42672297,0.2835219,0.11968865,0.2545154,0.1326174,0.26696748
P6,myogenic,Myeloid,0.43092045,0.36412823,0.18194924,0.73082215,0.24247622,0.38079497
P6,myogenic,Neuronal,0.5412386,0.32804638,0.3339375,0.23700067,0.21232067,0.24515724
P6,myogenic,Pericyte,0.5127079,0.5116843,0.36879513,0.32437506,0.21242683,0.3798906
P6,myogenic,vSMCs,0.6115215,0.5911147,0.3009242,0.29165372,0.2630645,0.34963977
P7,myogenic,Cardiomyocyte,0.6445322,0.73945165,0.1994344,0.19704133,0.7373149,0.21211341
P7,myogenic,Endothelial,0.51876795,0.39674067,0.17546521,0.332302,0.15973416,0.7439158
P7,myogenic,Fibroblast,0.62724996,0.41313142,0.62204444,0.31489378,0.21356513,0.34296647
P7,myogenic,Lymphoid,0.33051202,0.32651693,0.15416187,0.3123622,0.17558706,0.28850862
P7,myogenic,Myeloid,0.488362,0.3957587,0.20012765,0.7463131,0.22863093,0.4115449
P7,myogenic,Neuronal,0.44246015,0.3700762,0.4109399,0.26094726,0.1858047,0.15775622
P7,myogenic,Pericyte,0.51009405,0.48888814,0.38475138,0.27734676,0.22873712,0.38238135
P7,myogenic,vSMCs,0.5242868,0.5859821,0.30685088,0.2923625,0.28564128,0.40478703
P8,myogenic,Cardiomyocyte,0.6603534,0.7579639,0.21110915,0.18880208,0.7823005,0.19004087
P8,myogenic,Endothelial,0.561286,0.40762484,0.19015229,0.33796343,0.1748107,0.76678485
P8,myogenic,Fibroblast,0.68369555,0.4487885,0.6694469,0.38503748,0.17580019,0.3653485
P8,myogenic,Lymphoid,0.44536957,0.3640962,0.1962798,0.31975204,0.1367036,0.22149654
P8,myogenic,Myeloid,0.5314218,0.34891698,0.20599195,0.8078536,0.24068297,0.40435287
P8,myogenic,Neuronal,0.4156547,0.24829827,0.29510823,0.26460338,0.18464036,0.12652235
P8,myogenic,Pericyte,0.54209894,0.49247807,0.41050577,0.2933266,0.20368215,0.32265598
P8,myogenic,vSMCs,0.62780005,0.4767029,0.32116476,0.25610468,0.23943998,0.41612265
P9,ischemic,Cardiomyocyte,0.48224807,0.43743238,0.26882342,0.2645779,0.3908176,0.2713899
P9,ischemic,Endothelial,0.49302906,0.36866188,0.2535574,0.34538788,0.20559794,0.6561567
P9,ischemic,Fibroblast,0.6287461,0.39893198,0.75777924,0.34021088,0.19697206,0.4018094
P9,ischemic,Lymphoid,0.4085561,0.28153712,0.22492766,0.29883587,0.15753366,0.2734706
P9,ischemic,Myeloid,0.46766448,0.27351472,0.23272158,0.6560646,0.21135113,0.36708248
P9,ischemic,Neuronal,0.4309458,0.45390224,0.3682931,0.36359355,0.21524651,0.2856239
P9,ischemic,Pericyte,0.49797058,0.42423937,0.35562325,0.34353107,0.18820913,0.36065418
P9,ischemic,vSMCs,0.5862886,0.41645962,0.4143431,0.32874703,0.21587795,0.42341515
P9,myogenic,Cardiomyocyte,0.5099472,0.5739882,0.18559702,0.2060852,0.76396745,0.18512994
P9,myogenic,Endothelial,0.40060776,0.31703174,0.14937365,0.31820342,0.15379865,0.6767615
P9,myogenic,Fibroblast,0.57334775,0.3496051,0.61132777,0.29649776,0.15682188,0.2830134
P9,myogenic,Lymphoid,0.32670256,0.24662209,0.13936242,0.23347883,0.11045682,0.23795192
P9,myogenic,Myeloid,0.370172,0.27871984,0.18086481,0.6485594,0.20985323,0.3779218
P9,myogenic,Neuronal,0.3685503,0.32250148,0.29329154,0.23118886,0.14126559,0.1893981
P9,myogenic,Pericyte,0.42363605,0.39979377,0.27175015,0.25785476,0.16773146,0.3205782
P9,myogenic,vSMCs,0.43233755,0.43847525,0.2966162,0.29265365,0.20779814,0.35143012
