family,metric,reference,comparator,mean_difference_calibrated_minus_comparator,median_difference_calibrated_minus_comparator,paired_standardized_effect_dz,calibrated_win_fraction_lower_error,ci_lower,ci_upper,p_value,n_units,unit,p_adjust_bh_within_family
E3 validation-only horizon calibration,mmd,calibrated_cardiogb,raw_cardiogb,-0.41248152338796196,-0.42756658792495733,-3.9846937929669033,1.0,-0.45957233926488295,-0.3584446011545758,9.999000099990002e-05,15,case-seed forecast model; transitions averaged within unit,9.999000099990002e-05
E3 validation-only horizon calibration,mmd,calibrated_cardiogb,persistence,0.10287873355878724,0.11615582555532454,1.733051599762446,0.0,0.07389286378605499,0.13242303076096706,9.999000099990002e-05,15,case-seed forecast model; transitions averaged within unit,9.999000099990002e-05
E3 validation-only horizon calibration,moment_error,calibrated_cardiogb,raw_cardiogb,-0.10533145022475059,-0.0981378667056561,-2.1684565287613915,1.0,-0.13051941381249993,-0.08287042325466043,9.999000099990002e-05,15,case-seed forecast model; transitions averaged within unit,9.999000099990002e-05
E3 validation-only horizon calibration,moment_error,calibrated_cardiogb,persistence,0.026827013947897483,0.029795303940773003,1.5710307954655145,0.0,0.01902775529099421,0.03576972981345735,9.999000099990002e-05,15,case-seed forecast model; transitions averaged within unit,9.999000099990002e-05
E3 validation-only horizon calibration,sliced_wasserstein,calibrated_cardiogb,raw_cardiogb,-0.12390989990284047,-0.10395029187202451,-2.420153230338142,1.0,-0.1505738630099222,-0.10017278536171134,9.999000099990002e-05,15,case-seed forecast model; transitions averaged within unit,9.999000099990002e-05
E3 validation-only horizon calibration,sliced_wasserstein,calibrated_cardiogb,persistence,0.033663958828482374,0.030944880098104498,1.4878115433796757,0.0,0.023089895407772728,0.04522190340639404,9.999000099990002e-05,15,case-seed forecast model; transitions averaged within unit,9.999000099990002e-05
