transition,t0,t1,mmd,moment_error,sliced_wasserstein,mi_mean,mi_median,model,seed,ablation,prediction_finite_fraction,prediction_out_of_bounds_fraction,numerically_stable,prediction_diagnostics_origin,prediction_min,prediction_max
1_to_3,1.0,3.0,0.0576531589031219,0.0172043517231941,0.0181671772152185,0.4312032163143158,0.4191913604736328,cardiogb,20260829,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
3_to_7,3.0,7.0,0.0107873082160949,0.0018139210296794,0.0041832816787064,0.5358395576477051,0.5324782133102417,cardiogb,20260829,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
7_to_14,7.0,14.0,0.018871933221817,0.0027901877183467,0.004891897086054,0.7010114192962646,0.7044820189476013,cardiogb,20260829,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
14_to_28,14.0,28.0,0.0342848002910614,0.0060975309461355,0.011088715866208,0.4964417517185211,0.4821789860725403,cardiogb,20260829,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0_to_0.25,0.0,0.25,0.0861049741506576,0.0232494492083787,0.0206975992769002,0.9999998807907104,0.9999999403953552,,20260825,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.25_to_0.5,0.25,0.5,0.0285727754235267,0.0080400938168168,0.0081115653738379,0.9999999403953552,0.9999999403953552,,20260825,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.5_to_1,0.5,1.0,0.0165498238056898,0.0048015117645263,0.0048868237063288,0.9999998807907104,0.9999998807907104,,20260825,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
1_to_3,1.0,3.0,0.0446684136986732,0.0137162758037447,0.0146265840157866,0.9999998211860656,0.9999997615814208,,20260825,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
3_to_7,3.0,7.0,0.0800514593720436,0.0231432244181633,0.0189493689686059,0.9999998211860656,0.9999997615814208,,20260825,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
7_to_14,7.0,14.0,0.0774469226598739,0.0199330113828182,0.0212006755173206,0.9999998211860656,0.9999998211860656,,20260825,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,0.9798296093940736
14_to_28,14.0,28.0,0.0197506248950958,0.0030543862376362,0.0036768040154129,0.9999998807907104,0.9999999403953552,,20260825,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0_to_0.25,0.0,0.25,0.1432411670684814,0.0412562228739261,0.0436273925006389,0.9999998807907104,0.9999999403953552,,20260826,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.25_to_0.5,0.25,0.5,0.0422927588224411,0.0130170742049813,0.0130462050437927,0.9999999403953552,0.9999999403953552,,20260826,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
