state,spearman,pearson,exact_spearman_permutation_p,matched_phases
I,-0.7999999999999999,-0.8523790836334229,0.3333333333333333,4
A,0.7999999999999999,0.3354730010032654,0.3333333333333333,4
F,0.6000000000000001,0.9071531891822815,0.4166666666666667,4
C,0.7999999999999999,0.6339415907859802,0.3333333333333333,4
V,0.39999999999999997,0.6039862036705017,0.75,4
M,0.19999999999999998,-0.05911282077431679,0.9166666666666666,4
