source,parameter,mean,ci_lower,ci_upper,std,coefficient_of_variation,sign_consistency,n_fits,n_folds
E1,alpha_A,1.0147144675254822,1.0097552576661109,1.0207954403758048,0.009468839561291872,0.00933153105068356,1.0,10,0
E1,alpha_C,0.19634439051151276,0.19550497751682996,0.1972618827968836,0.0015108405975639903,0.007694849817853092,1.0,10,0
E1,alpha_F,0.20054420232772827,0.1994671056047082,0.2016940824314952,0.0019144104219852146,0.0095460771229711,1.0,10,0
E1,alpha_I,0.1996781200170517,0.1986866259202361,0.20063264951109885,0.0016388954521033034,0.008207686710809117,1.0,10,0
E1,alpha_M,0.19359419792890548,0.19168653428554536,0.19523623012006283,0.0030503999249376266,0.015756670176953546,1.0,10,0
E1,alpha_V,0.19655654430389405,0.19563298292458056,0.19735948968678713,0.0014783274438887176,0.007521130619813354,1.0,10,0
E1,beta_A,0.492399263381958,0.49101431272923945,0.49368127807974815,0.002267002758853055,0.004603992993983265,1.0,10,0
E1,beta_C,0.10127119868993759,0.10091666281223297,0.10162395181134343,0.0006084051609583397,0.006007682034268164,1.0,10,0
E1,beta_F,0.10017920210957527,0.09984459109604359,0.10054118894040584,0.0005933579011114397,0.005922964933005048,1.0,10,0
E1,beta_I,0.2000677466392517,0.19919965505599976,0.20087654054164886,0.0014254146956564585,0.007124660119387797,1.0,10,0
E1,beta_M,0.0494378849864006,0.049291796591132885,0.049602975696325304,0.0002682027184541977,0.005425044346617479,1.0,10,0
E1,beta_V,0.10100514963269233,0.10065310692414642,0.10137774992734193,0.0006194753501887687,0.0061331066033910725,1.0,10,0
E1,gamma_C,0.0992239311337471,0.09898271556943655,0.09944896971806884,0.00040559894265754416,0.0040877128936851375,1.0,10,0
E1,gamma_M,0.09754953533411026,0.09689936423674225,0.0981199979968369,0.0010472214639411423,0.010735278854526324,1.0,10,0
E1,gamma_V,0.0990371823310852,0.09838490987196566,0.09982421837747096,0.0012467329124269404,0.012588533751486015,1.0,10,0
E1,mechanistic_gate_A,0.5019275695085526,0.49938152968883515,0.5049602969735861,0.004769286371381765,0.009501941437589232,1.0,10,0
E1,mechanistic_gate_C,0.49309239387512205,0.49064553081989287,0.4955491392314434,0.004239570071246386,0.008597922263469506,1.0,10,0
E1,mechanistic_gate_F,0.5042187869548798,0.49824432164430615,0.5104599067568779,0.010364356812447802,0.0205552769563409,1.0,10,0
E1,mechanistic_gate_I,0.5026262491941452,0.49980496712028977,0.5055378603190184,0.004787031258744219,0.0095240375257345,1.0,10,0
