stage_days,mi_mean,ci_lower,ci_upper,n_biological_units
0.0,0.19347280263900757,0.18915216624736786,0.19779343903064728,2
0.25,0.3443840940793355,0.3088889420032501,0.37056612968444824,3
0.5,0.43165382742881775,0.41910868883132935,0.4440176486968994,3
1.0,0.5104481180508932,0.4836312532424927,0.5338668823242188,3
3.0,0.5144807696342468,0.48140597343444824,0.5478388667106628,3
7.0,0.49047643939654034,0.4490850567817688,0.5255346298217773,3
14.0,0.6157216827074686,0.539451539516449,0.661451518535614,3
28.0,0.5175805489222208,0.507091224193573,0.5254918932914734,3
