seed,model,transition,mmd,moment_error,sliced_wasserstein,t0,t1,mi_mean,mi_median
20260825,persistence,0_to_0.25,0.0860878825187683,0.0234682187438011,0.0240993425250053,,,,
20260825,persistence,0.25_to_0.5,0.028714120388031,0.008055112324655,0.0077411057427525,,,,
20260825,persistence,0.5_to_1,0.0228749513626098,0.0068211546167731,0.0080169169232249,,,,
20260825,persistence,1_to_3,0.0639261603355407,0.0201531779021024,0.0231328327208757,,,,
20260825,persistence,3_to_7,0.0669943690299987,0.0200807806104421,0.0210287757217884,,,,
20260825,persistence,7_to_14,0.230430781841278,0.0735657140612602,0.0924552306532859,,,,
20260825,persistence,14_to_28,0.0901644229888916,0.0225246157497167,0.0200630407780408,,,,
20260825,mechanistic_ode,0_to_0.25,0.0545426309108734,0.0122419977560639,0.0172137208282947,0.0,0.25,,
20260825,mechanistic_ode,0.25_to_0.5,0.0372887551784515,0.0105164721608161,0.0100739812478423,0.25,0.5,,
20260825,mechanistic_ode,0.5_to_1,0.0164945423603057,0.003936955705285,0.0049125137738883,0.5,1.0,,
20260825,mechanistic_ode,1_to_3,0.0829727053642273,0.0229877084493637,0.0309833884239196,1.0,3.0,,
20260825,mechanistic_ode,3_to_7,0.1131459474563598,0.0271122399717569,0.0332683324813842,3.0,7.0,,
20260825,mechanistic_ode,7_to_14,0.5759129524230957,0.2733139395713806,0.2617183327674866,7.0,14.0,,
20260825,mechanistic_ode,14_to_28,0.3841961920261383,0.115963838994503,0.1214027404785156,14.0,28.0,,
20260825,neural_ode,0_to_0.25,0.0868924558162689,0.0236932057887315,0.0314321406185627,0.0,0.25,,
20260825,neural_ode,0.25_to_0.5,0.0270904302597045,0.0075626471079885,0.0076770549640059,0.25,0.5,,
20260825,neural_ode,0.5_to_1,0.023772656917572,0.0071248314343392,0.0069998800754547,0.5,1.0,,
20260825,neural_ode,1_to_3,0.0565462410449981,0.0172104388475418,0.0220669247210025,1.0,3.0,,
20260825,neural_ode,3_to_7,0.0725215077400207,0.0207739453762769,0.0266966857016086,3.0,7.0,,
