experiment,noise_std,seed,correlation,rmse,regression_slope,regression_r2,regression_p,fibroblast_perturbation_mean_response,fibroblast_perturbation_positive_fraction,final_loss
E6,0.0,20260815,0.9487148523330688,0.0009413495426997542,0.8371691170889127,0.9000599404017997,2.747e-321,0.002359597012400627,1.0,8.909891562325356e-07
E6,0.0,20260816,0.9602388143539429,0.0008109882473945618,0.8677831461891369,0.9220586986020763,0.0,0.002418628428131342,1.0,6.604197437809489e-07
E6,0.0,20260817,0.9283567070960999,0.0012905148323625326,0.7165764685230205,0.8618460706025824,2.029598277891097e-276,0.00225630821660161,1.0,1.674335635470925e-06
E6,0.0,20260818,0.9560225605964661,0.0009894203394651413,0.8639410086103508,0.9139792075574058,0.0,0.0023269797675311565,1.0,9.847233286564006e-07
E6,0.0,20260819,0.9542155861854553,0.0009568292880430818,0.8614032230848362,0.9105272053264413,0.0,0.0026660629082471132,1.0,9.195936172545771e-07
E6,0.01,20260815,0.9415163397789001,0.000975138449575752,0.8274370185854691,0.8864530998267691,1.3377036128360127e-303,0.0022957853507250547,1.0,9.555591304888367e-07
E6,0.01,20260816,0.9548654556274414,0.0008519811672158539,0.8599966736851474,0.9117680322849375,0.0,0.002382060280069709,1.0,7.283796321644331e-07
E6,0.01,20260817,0.9195720553398132,0.0013326815096661448,0.7051767089355307,0.8456127532199791,5.043055263264049e-261,0.0022233419585973024,1.0,1.7848998368208413e-06
E6,0.01,20260818,0.9489006400108337,0.0010302676819264889,0.8545997377642126,0.900412506130888,8.9e-322,0.0022718266118317842,1.0,1.0669749599401257e-06
E6,0.01,20260819,0.9442859888076782,0.0010263457661494613,0.8454044305178147,0.8916759109642364,3.9945065182837e-310,0.002630269154906273,1.0,1.0572642850092961e-06
E6,0.05,20260815,0.8085413575172424,0.0014705598587170243,0.6404107410180432,0.653739028347285,4.581724723369852e-149,0.0015690959990024567,1.0,2.1648631900461623e-06
E6,0.05,20260816,0.8497799634933472,0.0014333719154819846,0.7035537477748498,0.7221261187236773,1.4362077838183688e-179,0.0018906645709648728,1.0,2.0553225112962537e-06
E6,0.05,20260817,0.7983855605125427,0.001743915374390781,0.5807859616939394,0.6374194245227682,1.113802210762209e-142,0.0018576188012957573,1.0,3.0469527700915933e-06
E6,0.05,20260818,0.8284190893173218,0.0015592757845297456,0.6676467731000914,0.6862782399218078,9.517893731501051e-163,0.0016894962172955275,1.0,2.4344283247046405e-06
E6,0.05,20260819,0.8177605271339417,0.0016412014374509454,0.650815298822049,0.668732187023151,3.338686579090152e-155,0.001924583688378334,1.0,2.6949555831379257e-06
E6,0.1,20260815,0.6356908082962036,0.0018795622745528817,0.40653183337015747,0.4041028108307425,9.435721117111206e-74,0.000822310452349484,1.0,3.5334219319338445e-06
E6,0.1,20260816,0.6847437024116516,0.0019739570561796427,0.4699215848178378,0.4688738629507984,1.002591846624866e-89,0.0012320263776928186,1.0,3.8967000364209525e-06
E6,0.1,20260817,0.6134620904922485,0.0021863991860300303,0.3807516072836622,0.3763356406148692,1.994343214716146e-67,0.0012046955525875092,1.0,4.782421001436887e-06
E6,0.1,20260818,0.6567676663398743,0.0020366657990962267,0.4283829866934749,0.4313436688432538,3.0072469242534368e-80,0.0010404435452073812,1.0,4.1488592614769004e-06
E6,0.1,20260819,0.6336260437965393,0.002188939368352294,0.3998267112147093,0.4014819612589596,3.8385004454134126e-73,0.0010264927987009287,1.0,4.79159461974632e-06
