pathway,test,statistic,degrees_of_freedom,p_value,descriptive_kruskal_statistic,descriptive_kruskal_p_value,descriptive_epsilon_squared,biological_unit,n_patients,n_patient_group_rows,p_adjust_bh
activation,patient-cluster-robust OLS omnibus Wald test,9.803244125782474,2,0.007434514035871649,7.890457368718231,0.019346791555126218,0.2945228684359115,patient cluster,20,23,0.008921416843045978
cardiomyocyte_regeneration,patient-cluster-robust OLS omnibus Wald test,18.586603950586124,2,9.203864863299328e-05,9.202258610954274,0.010040490558767889,0.3601129305477137,patient cluster,20,23,0.00018407729726598659
fibroblast_ecm,patient-cluster-robust OLS omnibus Wald test,19.28100171758747,2,6.504047049657304e-05,10.753246753246756,0.004623407107065519,0.4376623376623378,patient cluster,20,23,0.00018407729726598659
inflammation,patient-cluster-robust OLS omnibus Wald test,10.183167429553391,2,0.00614827505862967,9.629136081309994,0.008110724824708909,0.3814568040654997,patient cluster,20,23,0.008921416843045978
mature_myocardium,patient-cluster-robust OLS omnibus Wald test,35.8093227064162,2,1.6753454632780602e-08,10.211631846414463,0.00606139126718426,0.4105815923207231,patient cluster,20,23,1.0052072779668361e-07
vascularisation,patient-cluster-robust OLS omnibus Wald test,6.765129333220086,2,0.03396024624243979,3.604291360813093,0.16494458987734403,0.08021456804065466,patient cluster,20,23,0.03396024624243979
