experiment,noise_std,seed,parameter,true_value,inferred_value,absolute_error,relative_error,parameter_rmse,parameter_mae,parameter_correlation,final_loss
E5,0.0,20260815,alpha_A,1.0,0.9998586773872375,0.00014132261276245117,0.00014132261134922505,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,alpha_C,0.19999998807907104,0.21199986338615417,0.01199987530708313,0.05999937711168835,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,alpha_F,0.19999998807907104,0.20006312429904938,6.313621997833252e-05,0.0003156811029236675,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,alpha_I,0.19999998807907104,0.20638258755207062,0.006382599472999573,0.03191299767151087,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,alpha_M,0.19999998807907104,0.20676429569721222,0.006764307618141174,0.03382153841554973,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,alpha_V,0.19999998807907104,0.2078457474708557,0.007845759391784668,0.039228797335702004,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,beta_A,0.5,0.49990805983543396,9.194016456604004e-05,0.00018388032545447355,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,beta_C,0.10000000149011612,0.11104325205087662,0.011043250560760498,0.11043249291878332,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,beta_F,0.10000000149011612,0.10045860707759857,0.0004586055874824524,0.004586055347881439,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,beta_I,0.19999998807907104,0.21140046417713165,0.011400476098060608,0.057002381037790664,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,beta_M,0.05000000447034836,0.04979550838470459,0.0002044960856437683,0.00408992052922387,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,beta_V,0.10000000149011612,0.10712354630231857,0.007123544812202454,0.07123543993698978,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,gamma_C,0.10000000149011612,0.10001334547996521,1.3343989849090576e-05,0.00013343988315850825,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,gamma_M,0.10000000149011612,0.09417206048965454,0.005827941000461578,0.05827940330824467,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260815,gamma_V,0.10000000149011612,0.09902317821979523,0.0009768232703208923,0.009768231580827772,0.0064803256984292314,0.004689161479473114,0.999741343090349,3.8614660979874316e-07
E5,0.0,20260816,alpha_A,1.0,0.9999900460243225,9.953975677490234e-06,9.95397557795048e-06,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,alpha_C,0.19999998807907104,0.19962665438652039,0.0003733336925506592,0.0018666684806819835,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,alpha_F,0.19999998807907104,0.20000211894512177,2.130866050720215e-06,1.0654330355932133e-05,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,alpha_I,0.19999998807907104,0.200269877910614,0.00026988983154296875,0.0013494491706758237,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,alpha_M,0.19999998807907104,0.19936512410640717,0.0006348639726638794,0.0031743198938076122,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,alpha_V,0.19999998807907104,0.20058266818523407,0.0005826801061630249,0.002913400558797302,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,beta_A,0.5,0.49999409914016724,5.900859832763672e-06,1.1801719429492955e-05,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,beta_C,0.10000000149011612,0.0996231883764267,0.0003768131136894226,0.0037681307039316328,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,beta_F,0.10000000149011612,0.10001581907272339,1.5817582607269287e-05,0.00015817580789810888,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,beta_I,0.19999998807907104,0.20047368109226227,0.00047369301319122314,0.0023684650887043817,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,beta_M,0.05000000447034836,0.051008738577365875,0.001008734107017517,0.020174676301658458,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,beta_V,0.10000000149011612,0.10028274357318878,0.00028274208307266235,0.0028274205058527245,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,gamma_C,0.10000000149011612,0.09999097138643265,9.03010368347168e-06,9.0301026459024e-05,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260816,gamma_M,0.10000000149011612,0.0963331013917923,0.003666900098323822,0.036668996769927915,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
