protocol,case,transition,metric,estimate,ci_lower,ci_upper,n_seeds,resampling_unit
E2,0.5,0_to_0.5,mmd,0.067760419845581,0.06634947210550302,0.06929072439670556,5,initialization seed
E2,0.5,0_to_0.5,moment_error,0.016424312815070098,0.01600765325129026,0.0168482735753059,5,initialization seed
E2,0.5,0_to_0.5,sliced_wasserstein,0.018526791781186998,0.01622752957046026,0.02082542367279524,5,initialization seed
E2,3.0,0.5_to_3,mmd,0.07136473730206483,0.06279686465859406,0.07996170371770853,5,initialization seed
E2,3.0,0.5_to_3,moment_error,0.019510664232075182,0.016754576563835104,0.02232043743133542,5,initialization seed
E2,3.0,0.5_to_3,sliced_wasserstein,0.02282023373991246,0.018519637733697837,0.026577414944767903,5,initialization seed
E2,14.0,3_to_14,mmd,0.19255208671092988,0.11965369880199428,0.2538786768913269,5,initialization seed
E2,14.0,3_to_14,moment_error,0.05888615436851972,0.03311688564717762,0.08083493411540979,5,initialization seed
E2,14.0,3_to_14,sliced_wasserstein,0.06790566146373744,0.043959966301917966,0.08953896611928935,5,initialization seed
