state,spearman,p_value,n_biological_units,p_adjust_bh
I,-0.16106719367588934,0.46283371899320525,23,0.5554004627918463
A,-0.4822134387351779,0.01979409248985916,23,0.05938227746957748
F,0.5009881422924901,0.014887207250564156,23,0.05938227746957748
C,-0.2974308300395257,0.16810724114298076,23,0.3145971291370004
V,-0.2717391304347826,0.20973141942466692,23,0.3145971291370004
M,0.0790513833992095,0.7199415184401361,23,0.7199415184401361
