model,n_seeds,mmd_mean,mmd_ci_lower,mmd_ci_upper,sliced_wasserstein_mean,sliced_wasserstein_ci_lower,sliced_wasserstein_ci_upper,moment_error_mean,moment_error_ci_lower,moment_error_ci_upper
cardiogb,10,0.062139629891940475,0.05302073604294228,0.07080147168466018,0.019708029636447924,0.016769242329256827,0.022582256481317484,0.016823941612216998,0.013989416752842083,0.019414801111436467
graph_neural_ode,10,0.05606885084084097,0.04938508509525226,0.0619248243102005,0.019883056174564526,0.01755246392792152,0.021873287768019972,0.01610661673891752,0.013859758039969633,0.018040862719894205
persistence,10,0.08144205212593074,0.07235871089356281,0.08893798140542843,0.025609843652429277,0.02221625837713609,0.028408126451374374,0.02423413877508465,0.021213276005749147,0.026680276327200974
neural_ode,10,0.10000357202121184,0.08735835296767096,0.11411720953881736,0.03701302414161281,0.02793208084684526,0.0472913256829737,0.034358749004812596,0.026472111120362653,0.044014865946041246
mechanistic_ode,10,0.17059719690254754,0.16109035910240235,0.1784003505536488,0.06480155445169652,0.059688089565107814,0.06932167178868044,0.059868738108447575,0.0549153433453258,0.06438296757804758
